label,use_lcf,use_cdm,use_tome,tome_resize,merge_strategy,use_pre_tome,task_weight_sent,task_weight_cat,es_weight_sent,es_weight_cat,train_time_sec,best_epoch,best_dev_f1,sentiment_f1,sentiment_acc,aspect_cat_acc,aspect_cat_f1,joint_f1,joint_precision,joint_recall,joint_acc,joint_f1_macro,joint_precision_macro,joint_recall_macro,sent_f1_positive,sent_f1_negative,sent_f1_neutral,cat_f1_AMENITY,cat_f1_BRANDING,cat_f1_EXPERIENCE,cat_f1_FACILITY,cat_f1_LOYALTY,cat_f1_SERVICE,cs_f1_AMENITY_positive,cs_f1_AMENITY_negative,cs_f1_AMENITY_neutral,cs_f1_BRANDING_positive,cs_f1_BRANDING_negative,cs_f1_BRANDING_neutral,cs_f1_EXPERIENCE_positive,cs_f1_EXPERIENCE_negative,cs_f1_EXPERIENCE_neutral,cs_f1_FACILITY_positive,cs_f1_FACILITY_negative,cs_f1_FACILITY_neutral,cs_f1_LOYALTY_positive,cs_f1_LOYALTY_negative,cs_f1_LOYALTY_neutral,cs_f1_SERVICE_positive,cs_f1_SERVICE_negative,cs_f1_SERVICE_neutral
Baseline (Balanced),False,False,False,True,bipartite,False,1.0,1.0,0.5,0.5,259.55,7,82.57,95.83,95.83,90.06,90.06,86.54,86.54,86.54,86.54,63.75,67.62,61.57,97.9,80.95,40.0,92.52,76.19,73.68,89.22,92.31,95.6,96.18,71.43,80.0,95.24,0.0,0.0,98.46,0.0,0.0,97.08,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
LCF only CDM,True,True,False,True,bipartite,False,1.0,1.0,0.5,0.5,317.61,9,84.54,94.23,94.23,89.74,89.74,84.62,84.62,84.62,84.62,57.96,58.99,57.28,96.99,77.27,40.0,90.78,78.26,75.41,90.2,85.71,95.03,96.06,75.0,85.71,77.78,0.0,0.0,98.46,0.0,0.0,95.91,76.19,0.0,100.0,0.0,0.0,100.0,100.0,0.0
LCF only CDW,True,False,False,True,bipartite,False,1.0,1.0,0.5,0.5,270.73,7,82.57,95.83,95.83,89.74,89.74,85.9,85.9,85.9,85.9,61.01,64.1,59.0,97.91,78.05,44.44,90.2,72.73,79.31,88.32,92.31,96.13,96.18,71.43,80.0,95.24,0.0,0.0,98.46,0.0,0.0,97.11,80.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
LCF+Bip CDM (resize),True,True,True,True,bipartite,False,1.0,1.0,0.5,0.5,386.41,6,84.21,94.55,94.55,89.74,89.74,84.62,84.62,84.62,84.62,68.63,68.79,70.0,97.14,83.33,37.5,91.16,72.73,75.41,89.66,92.31,95.51,95.24,75.0,75.0,77.78,0.0,0.0,100.0,100.0,0.0,96.43,83.33,0.0,100.0,0.0,0.0,100.0,100.0,0.0
LCF+Bip CDW (resize),True,False,True,True,bipartite,False,1.0,1.0,0.5,0.5,387.39,6,83.88,95.83,95.83,90.71,90.71,87.18,87.18,87.18,87.18,65.37,67.71,64.05,97.89,80.95,50.0,91.55,70.0,79.37,89.95,92.31,97.18,96.92,71.43,100.0,95.24,0.0,0.0,98.46,0.0,0.0,96.47,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
Bip (resize),False,False,True,True,bipartite,False,1.0,1.0,0.5,0.5,489.08,9,83.22,95.51,95.51,91.03,91.03,86.86,86.86,86.86,86.86,63.35,65.28,62.88,97.72,76.19,54.55,91.03,78.26,83.08,89.66,92.31,97.14,96.92,71.43,100.0,90.0,0.0,0.0,98.46,0.0,0.0,96.51,76.19,0.0,100.0,0.0,0.0,100.0,100.0,0.0
LCF+Seq CDM (resize),True,True,True,True,sequential_local,False,1.0,1.0,0.5,0.5,560.91,6,83.88,95.83,95.83,91.35,91.35,87.5,87.5,87.5,87.5,65.03,67.64,63.52,97.89,80.95,50.0,92.41,80.0,80.65,90.73,92.31,96.09,96.92,71.43,100.0,90.0,0.0,0.0,98.46,0.0,0.0,97.08,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
LCF+Seq CDW (resize),True,False,True,True,sequential_local,False,1.0,1.0,0.5,0.5,616.52,7,82.89,96.47,96.47,90.38,90.38,87.18,87.18,87.18,87.18,64.77,66.71,64.25,98.25,80.95,60.0,92.62,75.0,75.0,89.55,92.31,96.13,96.92,71.43,100.0,95.24,0.0,0.0,98.46,0.0,0.0,97.67,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
Seq (resize),False,False,True,True,sequential_local,False,1.0,1.0,0.5,0.5,549.2,6,82.24,95.51,95.51,89.74,89.74,85.58,85.58,85.58,85.58,63.91,66.75,62.33,97.72,80.95,46.15,89.36,80.0,80.0,87.92,92.31,96.63,96.92,71.43,100.0,84.21,0.0,0.0,98.46,0.0,0.0,97.08,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
LCF+Attn CDM (resize),True,True,True,True,attention_weighted,False,1.0,1.0,0.5,0.5,595.81,7,83.22,95.51,95.51,90.38,90.38,86.22,86.22,86.22,86.22,72.22,73.66,72.03,97.71,78.26,54.55,92.0,81.82,77.42,88.89,92.31,96.09,96.92,71.43,100.0,95.24,0.0,0.0,100.0,100.0,0.0,95.24,75.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
LCF+Attn CDW (resize),True,False,True,True,attention_weighted,False,1.0,1.0,0.5,0.5,595.81,7,81.58,96.47,96.47,89.74,89.74,86.54,86.54,86.54,86.54,70.98,72.29,70.4,98.25,81.82,60.0,91.16,69.57,74.58,90.1,92.31,95.56,96.88,75.0,100.0,95.24,0.0,0.0,100.0,100.0,0.0,97.11,80.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
Attn (resize),False,False,True,True,attention_weighted,False,1.0,1.0,0.5,0.5,797.47,12,83.22,94.55,94.55,90.71,90.71,85.58,85.58,85.58,85.58,62.47,64.44,61.36,97.17,75.56,46.15,90.91,90.0,80.0,89.22,92.31,96.09,96.88,80.0,85.71,90.0,0.0,0.0,98.46,0.0,0.0,94.67,69.57,0.0,100.0,0.0,0.0,100.0,100.0,0.0
