label,use_lcf,use_cdm,use_tome,tome_resize,merge_strategy,use_pre_tome,task_weight_sent,task_weight_cat,es_weight_sent,es_weight_cat,train_time_sec,best_epoch,best_dev_f1,sentiment_f1,sentiment_acc,aspect_cat_acc,aspect_cat_f1,joint_f1,joint_precision,joint_recall,joint_acc,sent_f1_positive,sent_f1_negative,sent_f1_neutral,cat_f1_AMENITY,cat_f1_BRANDING,cat_f1_EXPERIENCE,cat_f1_FACILITY,cat_f1_LOYALTY,cat_f1_SERVICE,cs_f1_AMENITY_positive,cs_f1_AMENITY_negative,cs_f1_AMENITY_neutral,cs_f1_BRANDING_positive,cs_f1_BRANDING_negative,cs_f1_BRANDING_neutral,cs_f1_EXPERIENCE_positive,cs_f1_EXPERIENCE_negative,cs_f1_EXPERIENCE_neutral,cs_f1_FACILITY_positive,cs_f1_FACILITY_negative,cs_f1_FACILITY_neutral,cs_f1_LOYALTY_positive,cs_f1_LOYALTY_negative,cs_f1_LOYALTY_neutral,cs_f1_SERVICE_positive,cs_f1_SERVICE_negative,cs_f1_SERVICE_neutral
Baseline (Balanced),False,False,False,True,bipartite,False,1.0,1.0,0.5,0.5,222.56,5,58.87,69.48,93.91,88.78,83.92,52.75,53.14,54.03,83.33,97.0,71.43,40.0,87.5,66.67,78.12,87.8,85.71,97.73,95.31,57.14,75.0,90.0,0.0,0.0,98.46,0.0,0.0,96.47,85.71,0.0,100.0,0.0,0.0,98.82,66.67,0.0
LCF only CDM,True,True,False,True,bipartite,False,1.0,1.0,0.5,0.5,257.74,6,57.13,65.23,91.67,89.74,87.98,55.43,56.16,55.68,82.05,95.7,66.67,33.33,87.14,78.26,85.29,87.68,92.31,97.18,90.91,52.63,60.0,84.21,0.0,0.0,100.0,100.0,0.0,95.91,76.19,0.0,92.31,0.0,0.0,98.82,66.67,0.0
LCF only CDW,True,False,False,True,bipartite,False,1.0,1.0,0.5,0.5,308.44,8,56.53,71.19,93.91,87.5,81.89,56.42,55.96,59.17,82.05,96.81,73.91,42.86,88.74,64.52,71.19,88.66,83.33,94.92,94.4,66.67,85.71,90.0,0.0,0.0,98.46,0.0,0.0,96.47,85.71,0.0,100.0,0.0,0.0,98.82,66.67,0.0
LCF+Bip CDM (resize),True,True,True,True,bipartite,False,1.0,1.0,0.5,0.5,383.1,6,56.29,71.07,92.31,89.42,86.07,60.51,60.14,63.4,82.37,95.89,64.0,53.33,86.13,78.26,82.54,87.85,83.33,98.29,89.08,52.17,75.0,94.74,0.0,66.67,98.46,0.0,0.0,96.51,80.0,0.0,100.0,0.0,0.0,98.82,66.67,0.0
LCF+Bip CDW (resize),True,False,True,True,bipartite,False,1.0,1.0,0.5,0.5,425.56,7,58.58,73.7,94.55,91.03,89.42,68.12,67.46,69.61,86.22,97.17,73.91,50.0,91.03,86.96,80.0,89.58,92.31,96.67,95.24,66.67,100.0,95.24,0.0,0.0,100.0,100.0,0.0,95.91,80.0,0.0,100.0,0.0,0.0,98.82,66.67,0.0
Bip (resize),False,False,True,True,bipartite,False,1.0,1.0,0.5,0.5,374.64,6,58.17,65.05,91.03,89.42,85.44,53.77,53.99,55.72,80.77,95.14,66.67,33.33,89.21,76.92,77.97,88.57,83.33,96.63,89.83,63.64,60.0,84.21,0.0,0.0,98.46,0.0,0.0,94.67,72.73,0.0,100.0,0.0,0.0,98.82,66.67,0.0
LCF+Seq CDM (resize),True,True,True,True,sequential_local,False,1.0,1.0,0.5,0.5,611.83,9,54.04,72.9,92.95,90.06,85.3,62.35,60.87,66.02,83.33,96.26,65.31,57.14,90.28,69.57,82.35,88.56,83.33,97.73,92.68,60.0,85.71,94.74,0.0,66.67,98.46,0.0,0.0,95.29,72.73,0.0,100.0,0.0,0.0,98.82,66.67,0.0
LCF+Seq CDW (resize),True,False,True,True,sequential_local,False,1.0,1.0,0.5,0.5,332.7,3,48.71,57.22,82.05,90.38,85.92,45.28,46.13,55.14,75.0,89.58,53.52,28.57,91.16,69.57,80.65,88.89,87.5,97.75,67.37,42.11,35.29,75.0,0.0,33.33,96.88,0.0,0.0,91.25,66.67,22.22,100.0,0.0,0.0,98.22,80.0,0.0
Seq (resize),False,False,True,True,sequential_local,False,1.0,1.0,0.5,0.5,228.37,1,50.2,61.89,88.46,86.54,81.75,58.61,63.13,62.05,75.96,94.12,73.91,17.65,88.74,66.67,72.13,86.7,83.33,92.94,84.68,71.43,24.0,77.78,0.0,0.0,100.0,100.0,0.0,94.61,72.0,0.0,92.31,0.0,0.0,99.42,80.0,0.0
LCF+Attn CDM (resize),True,True,True,True,attention_weighted,False,1.0,1.0,0.5,0.5,522.92,7,61.24,69.37,94.23,89.74,87.38,58.14,59.3,57.81,84.29,97.01,71.11,40.0,88.0,86.96,81.36,88.56,83.33,96.09,95.31,70.59,80.0,95.24,0.0,0.0,98.46,0.0,0.0,95.91,76.19,0.0,100.0,0.0,0.0,98.82,66.67,0.0
