label,use_lcf,use_cdm,use_tome,tome_resize,merge_strategy,use_pre_tome,task_weight_sent,task_weight_cat,es_weight_sent,es_weight_cat,train_time_sec,best_epoch,best_dev_f1,sentiment_f1,sentiment_acc,aspect_cat_acc,aspect_cat_f1,joint_f1,joint_precision,joint_recall,joint_acc,joint_f1_macro,joint_precision_macro,joint_recall_macro,sent_f1_positive,sent_f1_negative,sent_f1_neutral,cat_f1_AMENITY,cat_f1_BRANDING,cat_f1_EXPERIENCE,cat_f1_FACILITY,cat_f1_LOYALTY,cat_f1_SERVICE,cs_f1_AMENITY_positive,cs_f1_AMENITY_negative,cs_f1_AMENITY_neutral,cs_f1_BRANDING_positive,cs_f1_BRANDING_negative,cs_f1_BRANDING_neutral,cs_f1_EXPERIENCE_positive,cs_f1_EXPERIENCE_negative,cs_f1_EXPERIENCE_neutral,cs_f1_FACILITY_positive,cs_f1_FACILITY_negative,cs_f1_FACILITY_neutral,cs_f1_LOYALTY_positive,cs_f1_LOYALTY_negative,cs_f1_LOYALTY_neutral,cs_f1_SERVICE_positive,cs_f1_SERVICE_negative,cs_f1_SERVICE_neutral
Baseline (Balanced),False,False,False,True,bipartite,False,1.0,1.0,0.5,0.5,328.15,7,84.54,95.51,95.51,89.42,89.42,85.9,85.9,85.9,85.9,62.21,62.95,63.36,97.7,79.17,54.55,88.44,72.73,77.42,90.55,83.33,95.56,98.44,87.5,100.0,95.24,0.0,0.0,98.46,0.0,0.0,95.86,75.0,0.0,92.31,0.0,0.0,99.41,85.71,0.0
LCF only CDM,True,True,False,True,bipartite,False,1.0,1.0,0.5,0.5,456.32,12,82.24,95.83,95.83,90.06,90.06,86.22,86.22,86.22,86.22,64.26,65.5,64.2,97.89,79.07,54.55,89.47,72.0,84.38,89.45,92.31,95.91,96.92,71.43,100.0,90.0,0.0,0.0,98.46,0.0,0.0,97.08,81.82,0.0,100.0,0.0,0.0,100.0,100.0,0.0
LCF only CDW,True,False,False,True,bipartite,False,1.0,1.0,0.5,0.5,336.17,7,83.22,96.79,96.79,88.78,88.78,86.22,86.22,86.22,86.22,62.25,62.15,63.56,98.41,85.11,60.0,87.84,72.73,77.19,88.56,92.31,95.08,99.21,94.12,100.0,95.24,0.0,0.0,98.46,0.0,0.0,97.08,81.82,0.0,100.0,0.0,0.0,99.41,85.71,0.0
LCF+Bip CDM (resize),True,True,True,True,bipartite,False,1.0,1.0,0.5,0.5,678.05,12,82.24,95.83,95.83,89.42,89.42,85.9,85.9,85.9,85.9,69.43,70.48,69.26,97.89,77.27,60.0,89.03,70.0,78.69,89.34,92.31,95.51,96.92,71.43,100.0,95.24,0.0,0.0,100.0,100.0,0.0,96.51,76.19,0.0,100.0,0.0,0.0,99.41,85.71,0.0
LCF+Bip CDW (resize),True,False,True,True,bipartite,False,1.0,1.0,0.5,0.5,680.14,12,82.24,96.15,96.15,91.03,91.03,87.82,87.82,87.82,87.82,72.57,73.9,72.23,98.06,84.44,50.0,90.79,70.0,82.54,90.91,92.31,96.63,97.67,80.0,100.0,95.24,0.0,0.0,98.41,100.0,0.0,97.08,85.71,0.0,100.0,0.0,0.0,99.41,85.71,0.0
Bip (resize),False,False,True,True,bipartite,False,1.0,1.0,0.5,0.5,661.62,13,83.22,96.47,96.47,91.03,91.03,87.5,87.5,87.5,87.5,62.56,65.32,62.44,98.25,81.82,60.0,90.28,63.16,84.06,91.54,83.33,97.21,98.44,87.5,100.0,95.24,0.0,0.0,98.46,0.0,0.0,97.11,80.0,0.0,100.0,0.0,0.0,99.41,85.71,0.0
LCF+Seq CDM (resize),True,True,True,True,sequential_local,False,1.0,1.0,0.5,0.5,656.98,7,80.92,94.87,94.87,87.82,87.82,83.65,83.65,83.65,83.65,67.94,69.34,68.25,97.35,78.26,46.15,87.25,69.23,74.07,88.67,83.33,94.44,96.12,66.67,100.0,90.0,0.0,0.0,98.41,100.0,0.0,96.47,81.82,0.0,100.0,0.0,0.0,99.41,85.71,0.0
LCF+Seq CDW (resize),True,False,True,True,sequential_local,False,1.0,1.0,0.5,0.5,896.15,11,81.58,95.51,95.51,88.78,88.78,85.26,85.26,85.26,85.26,62.13,64.67,61.85,97.72,79.07,50.0,87.67,60.0,80.65,88.78,76.92,96.63,96.92,71.43,100.0,95.24,0.0,0.0,96.88,0.0,0.0,97.08,85.71,0.0,100.0,0.0,0.0,99.41,85.71,0.0
Seq (resize),False,False,True,True,sequential_local,False,1.0,1.0,0.5,0.5,644.54,7,82.24,96.47,96.47,89.42,89.42,86.54,86.54,86.54,86.54,63.53,64.08,64.15,98.24,82.61,60.0,87.25,75.0,80.7,88.67,83.33,97.21,98.44,87.5,100.0,95.24,0.0,0.0,98.46,0.0,0.0,97.08,81.82,0.0,100.0,0.0,0.0,99.41,85.71,0.0
LCF+Attn CDM (resize),True,True,True,True,attention_weighted,False,1.0,1.0,0.5,0.5,657.72,7,82.24,95.19,95.19,87.82,87.82,84.62,84.62,84.62,84.62,69.49,70.1,70.29,97.52,82.61,42.86,84.93,78.26,74.07,86.54,92.31,96.67,97.67,80.0,100.0,84.21,0.0,0.0,98.41,100.0,0.0,96.47,81.82,0.0,100.0,0.0,0.0,99.41,85.71,0.0
LCF+Attn CDW (resize),True,False,True,True,attention_weighted,False,1.0,1.0,0.5,0.5,895.63,14,83.22,94.87,94.87,89.74,89.74,85.26,85.26,85.26,85.26,65.75,67.08,67.72,97.35,77.27,46.15,87.07,70.0,86.15,87.68,83.33,98.31,95.31,71.43,75.0,90.0,0.0,0.0,100.0,100.0,0.0,96.51,76.19,0.0,100.0,0.0,0.0,99.41,85.71,0.0
Attn (resize),False,False,True,True,attention_weighted,False,1.0,1.0,0.5,0.5,876.5,11,82.89,95.83,95.83,89.74,89.74,86.86,86.86,86.86,86.86,63.31,66.32,62.72,97.9,76.19,60.0,88.11,66.67,83.58,89.22,76.92,97.21,96.92,71.43,100.0,95.24,0.0,0.0,98.46,0.0,0.0,97.11,80.0,0.0,100.0,0.0,0.0,99.41,85.71,0.0
