label,use_lcf,use_tome,tome_resize,merge_strategy,task_weight_sent,task_weight_cat,es_weight_sent,es_weight_cat,train_time_sec,best_epoch,sentiment_f1,sentiment_acc,sent_f1_positive,sent_f1_negative,sent_f1_neutral,aspect_cat_f1,cat_f1_AMENITY,cat_f1_BRANDING,cat_f1_EXPERIENCE,cat_f1_FACILITY,cat_f1_LOYALTY,cat_f1_SERVICE
Baseline (Sent-focus),False,False,True,bipartite,1.2,0.8,0.6,0.4,570.33,8,72.55,94.87,97.53,77.27,42.86,88.78,90.41,81.82,80.65,89.22,92.31,98.31
Baseline (Cat-focus),False,False,True,bipartite,0.8,1.2,0.4,0.6,264.02,2,74.2,94.55,97.32,80.85,44.44,86.12,90.2,71.43,79.37,87.96,92.31,95.45
Baseline (Balanced),False,False,True,bipartite,1.0,1.0,0.5,0.5,436.47,6,70.63,94.55,97.52,79.07,35.29,86.43,91.67,72.73,75.0,89.1,92.31,97.75
LCF only,True,False,True,bipartite,1.0,1.0,0.5,0.5,857.35,12,73.78,95.19,97.54,80.95,42.86,86.75,86.59,81.82,76.19,85.87,92.31,97.75
LCF+Bip (resize),True,True,True,bipartite,1.0,1.0,0.5,0.5,1085.26,9,68.37,94.55,97.36,74.42,33.33,87.77,91.89,78.26,77.42,89.0,92.31,97.75
LCF+Bip (compact),True,True,False,bipartite,1.0,1.0,0.5,0.5,1007.28,8,69.45,93.59,96.79,80.0,31.58,90.24,92.52,85.71,83.08,90.1,92.31,97.73
Bip (resize),False,True,True,bipartite,1.0,1.0,0.5,0.5,675.09,4,66.65,92.63,96.59,77.27,26.09,86.57,91.03,69.57,80.0,88.78,92.31,97.75
Bip (compact),False,True,False,bipartite,1.0,1.0,0.5,0.5,798.53,6,77.17,95.83,97.89,79.07,54.55,86.65,92.41,76.19,73.02,88.78,92.31,97.18
LCF+Seq (resize),True,True,True,sequential_local,1.0,1.0,0.5,0.5,952.87,4,71.89,94.55,97.33,80.85,37.5,83.1,91.03,60.87,75.86,87.92,85.71,97.18
LCF+Seq (compact),True,True,False,sequential_local,1.0,1.0,0.5,0.5,1696.51,10,70.61,93.59,96.63,72.34,42.86,87.84,90.67,81.82,76.92,89.9,92.31,95.45
Seq (resize),False,True,True,sequential_local,1.0,1.0,0.5,0.5,994.77,4,68.25,93.59,96.98,76.19,31.58,86.83,89.21,72.73,80.0,89.0,92.31,97.73
Seq (compact),False,True,False,sequential_local,1.0,1.0,0.5,0.5,903.77,4,67.61,92.63,96.23,76.6,30.0,85.92,90.14,69.57,77.42,88.35,92.31,97.75
LCF+Attn (resize),True,True,True,attention_weighted,1.0,1.0,0.5,0.5,1267.31,7,75.26,95.51,97.72,78.05,50.0,88.7,91.67,80.0,80.65,89.86,92.31,97.75
LCF+Attn (compact),True,True,False,attention_weighted,1.0,1.0,0.5,0.5,933.53,4,69.46,92.63,96.39,80.0,32.0,84.73,89.51,69.23,72.41,88.89,92.31,96.05
Attn (resize),False,True,True,attention_weighted,1.0,1.0,0.5,0.5,1130.21,6,70.29,94.55,97.53,78.05,35.29,87.47,91.89,76.19,77.42,89.32,92.31,97.7
Attn (compact),False,True,False,attention_weighted,1.0,1.0,0.5,0.5,883.78,4,69.38,93.59,96.95,82.61,28.57,86.44,90.14,69.57,80.0,88.35,92.31,98.29
