seed,model_type,config_id,display_name,ate_csv_seed,train_time_sec,best_epoch,best_dev_f1,inference_total_ms,inference_per_sample_ms,n_test_samples,joint_f1,joint_precision,joint_recall,joint_acc,joint_f1_macro,joint_precision_macro,joint_recall_macro,sentiment_f1,sentiment_acc,aspect_cat_acc,aspect_cat_f1,e2e_micro_f1,e2e_micro_precision,e2e_micro_recall,e2e_macro_f1,e2e_macro_precision,e2e_macro_recall,e2e_tp,e2e_fp,e2e_fn,use_lcf,use_cdm,use_tome,tome_resize,merge_strategy,use_pre_tome,sent_f1_positive,sent_f1_negative,sent_f1_neutral,cat_f1_AMENITY,cat_f1_BRANDING,cat_f1_EXPERIENCE,cat_f1_FACILITY,cat_f1_LOYALTY,cat_f1_SERVICE,cs_f1_AMENITY_positive,cs_f1_AMENITY_negative,cs_f1_AMENITY_neutral,cs_f1_BRANDING_positive,cs_f1_BRANDING_negative,cs_f1_BRANDING_neutral,cs_f1_EXPERIENCE_positive,cs_f1_EXPERIENCE_negative,cs_f1_EXPERIENCE_neutral,cs_f1_FACILITY_positive,cs_f1_FACILITY_negative,cs_f1_FACILITY_neutral,cs_f1_LOYALTY_positive,cs_f1_LOYALTY_negative,cs_f1_LOYALTY_neutral,cs_f1_SERVICE_positive,cs_f1_SERVICE_negative,cs_f1_SERVICE_neutral
42,bert,baseline,Base,runs_ate/seed_42/test_predictions.csv,278.49,7,82.57,2770.0,8.8782,312,86.54,86.54,86.54,86.54,63.75,67.62,61.57,95.83,95.83,90.06,90.06,69.95,69.4,70.51,51.21,53.51,50.8,220,97,92,False,False,False,True,bipartite,False,97.9,80.95,40.0,92.52,76.19,73.68,89.22,92.31,95.6,96.18,71.43,80.0,95.24,0.0,0.0,98.46,0.0,0.0,97.08,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,baseline,Base,runs_ate/seed_123/test_predictions.csv,298.2,8,82.89,2787.48,8.9342,312,86.86,86.86,86.86,86.86,62.61,66.07,61.08,95.83,95.83,90.71,90.71,68.25,67.61,68.91,48.17,50.42,47.7,215,103,97,False,False,False,True,bipartite,False,97.9,80.95,40.0,90.41,81.82,81.82,87.56,92.31,98.86,96.18,71.43,80.0,90.0,0.0,0.0,98.46,0.0,0.0,97.67,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,baseline,Base,runs_ate/seed_456/test_predictions.csv,273.88,7,83.22,2775.95,8.8973,312,84.62,84.62,84.62,84.62,61.21,61.39,62.28,94.55,94.55,89.74,89.74,69.43,68.99,69.87,51.16,52.95,52.24,218,98,94,False,False,False,True,bipartite,False,97.16,80.0,40.0,91.28,78.26,73.33,89.76,92.31,95.4,95.24,75.0,75.0,77.78,0.0,0.0,98.46,0.0,0.0,97.08,81.82,0.0,100.0,0.0,0.0,100.0,100.0,0.0
42,bert,lcf_only_cdm,CDM,runs_ate/seed_42/test_predictions.csv,331.43,9,84.54,2776.29,8.8984,312,84.62,84.62,84.62,84.62,57.96,58.99,57.28,94.23,94.23,89.74,89.74,68.04,67.51,68.59,46.31,46.14,47.21,214,103,98,True,True,False,True,bipartite,False,96.99,77.27,40.0,90.78,78.26,75.41,90.2,85.71,95.03,96.06,75.0,85.71,77.78,0.0,0.0,98.46,0.0,0.0,95.91,76.19,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,lcf_only_cdm,CDM,runs_ate/seed_123/test_predictions.csv,229.65,5,85.2,2784.35,8.9242,312,86.22,86.22,86.22,86.22,64.47,67.0,63.0,94.87,94.87,91.03,91.03,68.89,68.24,69.55,48.94,50.0,49.24,217,101,95,True,True,False,True,bipartite,False,97.36,78.05,42.86,90.2,85.71,83.58,88.78,92.31,97.7,96.92,71.43,100.0,84.21,0.0,0.0,98.46,0.0,0.0,95.91,80.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,lcf_only_cdm,CDM,runs_ate/seed_456/test_predictions.csv,358.41,10,83.88,2815.06,9.0226,312,84.94,84.94,84.94,84.94,64.19,64.36,69.09,95.19,95.19,89.1,89.1,70.06,69.62,70.51,54.39,55.32,59.17,220,96,92,True,True,False,True,bipartite,False,97.7,79.07,50.0,90.67,78.26,68.97,88.12,92.31,96.63,98.44,80.0,85.71,82.35,0.0,40.0,98.46,0.0,0.0,95.91,76.19,0.0,100.0,0.0,0.0,100.0,100.0,0.0
42,bert,lcf_only_cdw,CDW,runs_ate/seed_42/test_predictions.csv,283.1,7,82.57,2789.09,8.9394,312,85.9,85.9,85.9,85.9,61.01,64.1,59.0,95.83,95.83,89.74,89.74,68.68,68.14,69.23,48.78,50.04,48.55,216,101,96,True,False,False,True,bipartite,False,97.91,78.05,44.44,90.2,72.73,79.31,88.32,92.31,96.13,96.18,71.43,80.0,95.24,0.0,0.0,98.46,0.0,0.0,97.11,80.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,lcf_only_cdw,CDW,runs_ate/seed_123/test_predictions.csv,178.68,3,82.57,2792.34,8.9498,312,84.29,84.29,84.29,84.29,60.5,62.99,60.77,94.23,94.23,89.1,89.1,67.62,66.98,68.27,47.15,48.59,48.49,213,105,99,True,False,False,True,bipartite,False,96.98,76.6,42.86,89.51,63.16,80.6,86.83,85.71,97.73,96.92,71.43,100.0,77.78,0.0,0.0,98.46,0.0,0.0,95.18,76.92,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,lcf_only_cdw,CDW,runs_ate/seed_456/test_predictions.csv,280.33,7,82.57,2798.42,8.9693,312,86.22,86.22,86.22,86.22,65.03,69.15,65.49,94.87,94.87,90.71,90.71,71.02,70.57,71.47,56.04,60.96,56.06,223,93,89,True,False,False,True,bipartite,False,97.17,79.07,53.33,91.89,78.26,78.69,89.11,92.31,97.18,96.12,71.43,85.71,84.21,0.0,0.0,98.46,0.0,0.0,96.47,85.71,40.0,100.0,0.0,0.0,99.41,85.71,0.0
42,bert,bip,BiToMe,runs_ate/seed_42/test_predictions.csv,393.31,6,82.24,3770.8,12.0859,312,85.9,85.9,85.9,85.9,65.22,67.5,63.92,95.19,95.19,90.38,90.38,69.32,68.77,69.87,52.5,53.88,52.89,218,99,94,False,False,True,True,bipartite,False,97.54,80.95,42.86,88.73,85.71,83.08,87.92,92.31,97.73,96.92,71.43,100.0,90.0,0.0,0.0,98.46,0.0,0.0,95.86,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,bip,BiToMe,runs_ate/seed_123/test_predictions.csv,392.37,6,83.22,3793.07,12.1573,312,85.9,85.9,85.9,85.9,62.73,64.83,62.2,94.87,94.87,90.71,90.71,68.89,68.24,69.55,49.42,50.9,49.98,217,101,95,False,False,True,True,bipartite,False,97.36,74.42,50.0,90.28,76.19,84.06,88.56,92.31,97.73,96.92,71.43,100.0,90.0,0.0,0.0,98.46,0.0,0.0,95.29,72.73,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,bip,BiToMe,runs_ate/seed_456/test_predictions.csv,352.59,5,83.22,3777.1,12.1061,312,86.22,86.22,86.22,86.22,63.53,67.64,62.25,94.55,94.55,90.71,90.71,71.02,70.57,71.47,53.9,57.25,52.67,223,93,89,False,False,True,True,bipartite,False,97.18,78.05,40.0,90.32,84.21,81.82,88.66,92.31,97.18,96.92,71.43,100.0,70.59,0.0,0.0,98.46,0.0,0.0,96.51,80.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
42,bert,seq,SLM,runs_ate/seed_42/test_predictions.csv,635.53,7,82.57,5053.76,16.198,312,84.62,84.62,84.62,84.62,63.75,64.31,63.49,95.51,95.51,88.78,88.78,67.41,66.88,67.95,51.14,50.99,52.36,212,105,100,False,False,True,True,sequential_local,False,97.72,75.56,60.0,89.93,81.82,71.19,87.44,92.31,95.6,96.12,66.67,100.0,95.24,0.0,0.0,98.46,0.0,0.0,96.47,78.26,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,seq,SLM,runs_ate/seed_123/test_predictions.csv,573.9,6,83.22,4998.24,16.02,312,86.54,86.54,86.54,86.54,71.29,72.98,71.51,96.15,96.15,90.06,90.06,69.21,68.55,69.87,57.53,58.86,58.64,218,100,94,False,False,True,True,sequential_local,False,98.06,82.61,54.55,89.33,78.26,80.65,88.56,92.31,97.14,97.67,80.0,100.0,95.24,0.0,0.0,100.0,100.0,0.0,95.86,78.26,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,seq,SLM,runs_ate/seed_456/test_predictions.csv,690.18,8,83.88,5004.52,16.0401,312,86.86,86.86,86.86,86.86,64.83,68.07,63.43,95.19,95.19,91.03,91.03,71.34,70.89,71.79,53.36,55.51,53.14,224,92,88,False,False,True,True,sequential_local,False,97.53,81.82,42.86,91.16,84.21,79.37,89.66,85.71,97.75,97.67,80.0,100.0,77.78,0.0,0.0,98.46,0.0,0.0,96.47,81.82,0.0,100.0,0.0,0.0,100.0,100.0,0.0
42,bert,attn,AWM,runs_ate/seed_42/test_predictions.csv,719.17,9,84.54,4932.91,15.8106,312,88.14,88.14,88.14,88.14,69.83,71.39,68.97,96.79,96.79,91.03,91.03,70.91,70.35,71.47,57.2,60.68,57.11,223,94,89,False,False,True,True,sequential_cosine,False,98.24,86.36,66.67,91.89,78.26,78.69,91.46,92.31,95.56,97.64,82.35,100.0,95.24,0.0,0.0,98.46,0.0,0.0,97.08,90.0,40.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,attn,AWM,runs_ate/seed_123/test_predictions.csv,776.64,10,83.88,4937.9,15.8266,312,87.82,87.82,87.82,87.82,64.71,65.49,65.24,96.47,96.47,91.03,91.03,69.84,69.18,70.51,50.11,50.64,51.46,220,98,92,False,False,True,True,sequential_cosine,False,98.25,81.82,60.0,88.44,81.82,87.1,89.11,92.31,97.75,97.67,80.0,100.0,95.24,0.0,0.0,98.46,0.0,0.0,97.08,81.82,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,attn,AWM,runs_ate/seed_456/test_predictions.csv,386.91,3,81.91,5018.38,16.0845,312,84.62,84.62,84.62,84.62,65.71,67.27,66.34,93.59,93.59,90.38,90.38,69.75,69.3,70.19,55.41,55.23,57.23,219,97,93,False,False,True,True,sequential_cosine,False,96.61,78.26,35.29,90.91,76.19,82.86,89.11,85.71,96.55,96.88,80.0,85.71,62.5,0.0,0.0,100.0,100.0,0.0,95.86,78.26,0.0,100.0,0.0,0.0,98.82,66.67,0.0
42,bert,lcf_bip_cdm,BiToMe+CDM,runs_ate/seed_42/test_predictions.csv,403.71,6,84.54,3877.1,12.4266,312,85.26,85.26,85.26,85.26,61.98,62.71,62.23,94.23,94.23,90.71,90.71,68.68,68.14,69.23,49.73,50.03,51.23,216,101,96,True,True,True,True,bipartite,False,96.98,78.26,40.0,91.16,76.19,80.65,90.64,92.31,95.51,96.06,75.0,85.71,77.78,0.0,0.0,98.46,0.0,0.0,95.86,78.26,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,lcf_bip_cdm,BiToMe+CDM,runs_ate/seed_123/test_predictions.csv,362.89,5,83.22,3855.54,12.3575,312,84.94,84.94,84.94,84.94,68.68,70.98,68.46,94.55,94.55,90.06,90.06,66.67,66.04,67.31,54.72,56.2,55.17,210,108,102,True,True,True,True,bipartite,False,97.35,75.56,42.86,89.33,85.71,81.25,88.44,92.31,96.05,96.92,71.43,100.0,77.78,0.0,0.0,100.0,100.0,0.0,96.47,72.73,0.0,100.0,0.0,0.0,99.41,85.71,0.0
456,bert,lcf_bip_cdm,BiToMe+CDM,runs_ate/seed_456/test_predictions.csv,481.98,8,82.57,3879.85,12.4354,312,85.26,85.26,85.26,85.26,62.87,65.19,61.68,94.87,94.87,90.06,90.06,70.7,70.25,71.15,53.63,56.59,53.22,222,94,90,True,True,True,True,bipartite,False,97.36,74.42,50.0,93.24,76.19,71.19,88.78,92.31,96.63,96.92,71.43,100.0,90.0,0.0,0.0,98.46,0.0,0.0,95.29,72.73,0.0,100.0,0.0,0.0,100.0,100.0,0.0
42,bert,lcf_bip_cdw,BiToMe+CDW,runs_ate/seed_42/test_predictions.csv,445.56,7,83.22,3892.07,12.4746,312,86.86,86.86,86.86,86.86,60.5,60.8,61.0,95.51,95.51,90.71,90.71,69.95,69.4,70.51,49.34,49.91,49.96,220,97,92,True,False,True,True,bipartite,False,97.72,79.07,40.0,92.21,81.82,79.37,89.47,92.31,95.6,96.18,71.43,80.0,95.24,0.0,0.0,98.46,0.0,0.0,96.47,81.82,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,lcf_bip_cdw,BiToMe+CDW,runs_ate/seed_123/test_predictions.csv,605.15,11,83.22,3880.79,12.4384,312,85.26,85.26,85.26,85.26,62.9,64.61,63.07,94.55,94.55,90.38,90.38,67.94,67.3,68.59,48.97,50.19,50.12,214,104,98,True,False,True,True,bipartite,False,97.17,73.91,50.0,90.91,81.82,79.41,87.13,92.31,98.86,96.92,71.43,100.0,90.0,0.0,0.0,98.46,0.0,0.0,94.61,72.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,lcf_bip_cdw,BiToMe+CDW,runs_ate/seed_456/test_predictions.csv,282.57,3,81.58,3898.63,12.4956,312,86.54,86.54,86.54,86.54,59.71,65.57,59.61,93.91,93.91,91.67,91.67,71.02,70.57,71.47,50.78,56.29,51.15,223,93,89,True,False,True,True,bipartite,False,96.8,80.95,40.0,91.67,80.0,84.06,91.0,85.71,97.18,95.24,71.43,60.0,62.5,0.0,0.0,98.46,0.0,0.0,97.08,85.71,50.0,100.0,0.0,0.0,100.0,100.0,0.0
42,bert,lcf_seq_cdm,SLM+CDM,runs_ate/seed_42/test_predictions.csv,586.42,6,84.54,5114.05,16.3912,312,85.9,85.9,85.9,85.9,62.15,64.34,61.5,94.87,94.87,90.71,90.71,69.63,69.09,70.19,50.62,52.31,51.38,219,98,93,True,True,True,True,sequential_local,False,97.35,80.95,40.0,91.03,76.19,80.0,89.86,92.31,96.63,96.12,71.43,85.71,77.78,0.0,0.0,98.46,0.0,0.0,97.08,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,lcf_seq_cdm,SLM+CDM,runs_ate/seed_123/test_predictions.csv,411.34,3,83.22,5136.48,16.4631,312,84.29,84.29,84.29,84.29,61.85,64.36,61.38,94.55,94.55,89.1,89.1,67.3,66.67,67.95,47.63,49.35,48.36,212,106,100,True,True,True,True,sequential_local,False,97.34,80.0,37.5,87.32,76.19,80.6,86.83,92.31,97.73,97.67,71.43,85.71,77.78,0.0,0.0,98.46,0.0,0.0,95.81,83.33,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,lcf_seq_cdm,SLM+CDM,runs_ate/seed_456/test_predictions.csv,648.03,7,81.91,5232.01,16.7693,312,86.22,86.22,86.22,86.22,64.27,65.32,63.63,95.19,95.19,90.71,90.71,70.7,70.25,71.15,53.44,55.58,53.22,222,94,90,True,True,True,True,sequential_local,False,97.54,77.27,50.0,92.52,78.26,76.67,88.78,92.31,97.73,96.88,75.0,100.0,90.0,0.0,0.0,98.46,0.0,0.0,95.91,76.19,0.0,100.0,0.0,0.0,100.0,100.0,0.0
42,bert,lcf_seq_cdw,SLM+CDW,runs_ate/seed_42/test_predictions.csv,648.87,7,83.22,5187.68,16.6272,312,87.18,87.18,87.18,87.18,64.57,66.81,63.61,96.47,96.47,90.38,90.38,70.27,69.72,70.83,52.37,53.67,53.4,221,96,91,True,False,True,True,sequential_local,False,98.25,80.95,60.0,93.33,72.73,75.0,89.55,92.31,95.6,96.92,71.43,100.0,95.24,0.0,0.0,98.46,0.0,0.0,97.67,85.71,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,lcf_seq_cdw,SLM+CDW,runs_ate/seed_123/test_predictions.csv,528.34,5,82.57,5171.21,16.5744,312,85.58,85.58,85.58,85.58,63.13,64.28,62.6,94.55,94.55,90.71,90.71,67.94,67.3,68.59,48.74,49.3,49.37,214,104,98,True,False,True,True,sequential_local,False,97.17,75.56,46.15,89.33,81.82,83.08,89.34,92.31,97.18,96.88,75.0,100.0,84.21,0.0,0.0,98.46,0.0,0.0,95.29,72.73,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,lcf_seq_cdw,SLM+CDW,runs_ate/seed_456/test_predictions.csv,647.21,7,83.22,5173.85,16.5829,312,86.54,86.54,86.54,86.54,64.67,66.15,63.87,95.83,95.83,90.38,90.38,71.34,70.89,71.79,53.77,55.65,53.71,224,92,88,True,False,True,True,sequential_local,False,97.89,81.82,50.0,92.41,78.26,77.42,88.35,92.31,97.14,97.67,80.0,100.0,84.21,0.0,0.0,98.46,0.0,0.0,97.08,81.82,0.0,100.0,0.0,0.0,100.0,100.0,0.0
42,bert,lcf_attn_cdm,AWM+CDM,runs_ate/seed_42/test_predictions.csv,851.65,13,83.55,5105.2,16.3628,312,85.58,85.58,85.58,85.58,64.67,67.48,62.8,95.83,95.83,89.74,89.74,68.36,67.82,68.91,51.03,52.71,51.05,215,102,97,True,True,True,True,sequential_cosine,False,97.89,80.95,50.0,90.07,90.0,74.19,89.11,92.31,95.45,97.67,80.0,100.0,84.21,0.0,0.0,98.46,0.0,0.0,97.11,80.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
123,bert,lcf_attn_cdm,AWM+CDM,runs_ate/seed_123/test_predictions.csv,509.18,5,83.22,5066.52,16.2388,312,84.62,84.62,84.62,84.62,63.25,68.17,61.02,94.87,94.87,89.1,89.1,67.62,66.98,68.27,48.8,51.08,48.3,213,105,99,True,True,True,True,sequential_cosine,False,97.35,79.07,42.86,89.47,84.21,74.58,88.0,92.31,95.03,97.67,80.0,100.0,70.59,0.0,0.0,98.46,0.0,0.0,96.51,76.19,0.0,100.0,0.0,0.0,100.0,100.0,0.0
456,bert,lcf_attn_cdm,AWM+CDM,runs_ate/seed_456/test_predictions.csv,396.8,3,82.89,5073.46,16.2611,312,84.29,84.29,84.29,84.29,60.97,62.19,61.44,93.27,93.27,90.38,90.38,68.47,68.04,68.91,51.45,52.77,52.16,215,101,97,True,True,True,True,sequential_cosine,False,96.8,74.42,31.58,90.14,70.0,83.58,89.66,80.0,97.18,95.24,75.0,75.0,70.59,0.0,0.0,100.0,100.0,0.0,96.51,63.16,0.0,92.31,0.0,0.0,100.0,100.0,0.0
