label,use_lcf,use_tome,tome_resize,merge_strategy,task_weight_sent,task_weight_cat,es_weight_sent,es_weight_cat,train_time_sec,best_epoch,sentiment_f1,sentiment_acc,sent_f1_positive,sent_f1_negative,sent_f1_neutral,aspect_cat_f1,cat_f1_AMENITY,cat_f1_BRANDING,cat_f1_EXPERIENCE,cat_f1_FACILITY,cat_f1_LOYALTY,cat_f1_SERVICE
Baseline (Sent-focus),False,False,True,bipartite,1.2,0.8,0.6,0.4,612.57,8,72.55,94.87,97.53,77.27,42.86,88.78,90.41,81.82,80.65,89.22,92.31,98.31
Baseline (Cat-focus),False,False,True,bipartite,0.8,1.2,0.4,0.6,260.97,2,74.2,94.55,97.32,80.85,44.44,86.12,90.2,71.43,79.37,87.96,92.31,95.45
Baseline (Balanced),False,False,True,bipartite,1.0,1.0,0.5,0.5,444.59,6,70.63,94.55,97.52,79.07,35.29,86.43,91.67,72.73,75.0,89.1,92.31,97.75
LCF only,True,False,True,bipartite,1.0,1.0,0.5,0.5,604.13,8,76.8,95.19,97.7,75.56,57.14,87.76,91.39,78.26,77.42,89.45,92.31,97.73
LCF+Bip (resize),True,True,True,bipartite,1.0,1.0,0.5,0.5,1348.69,11,80.59,96.47,98.41,81.82,61.54,87.72,86.13,85.71,78.69,86.79,92.31,96.67
LCF+Bip (compact),True,True,False,bipartite,1.0,1.0,0.5,0.5,918.43,8,73.24,93.91,96.77,80.85,42.11,88.04,88.28,81.82,80.6,88.12,92.31,97.14
Bip (resize),False,True,True,bipartite,1.0,1.0,0.5,0.5,895.5,7,67.55,93.59,97.33,78.05,27.27,89.65,91.78,81.82,83.08,90.64,92.31,98.29
Bip (compact),False,True,False,bipartite,1.0,1.0,0.5,0.5,1284.4,12,72.19,94.87,97.54,76.19,42.86,88.81,91.89,81.82,80.0,88.56,92.31,98.29
LCF+Seq (resize),True,True,True,sequential_local,1.0,1.0,0.5,0.5,841.73,4,73.17,92.95,96.19,83.33,40.0,87.17,88.73,83.33,75.0,87.5,92.31,96.13
LCF+Seq (compact),True,True,False,sequential_local,1.0,1.0,0.5,0.5,1288.72,9,74.03,95.51,97.89,78.05,46.15,85.45,87.67,78.26,72.13,86.27,92.31,96.05
Seq (resize),False,True,True,sequential_local,1.0,1.0,0.5,0.5,977.6,4,68.23,92.95,96.42,78.26,30.0,87.75,91.78,76.19,78.69,89.76,92.31,97.75
Seq (compact),False,True,False,sequential_local,1.0,1.0,0.5,0.5,919.63,4,65.86,92.31,96.4,73.91,27.27,88.96,92.41,81.82,80.0,90.0,92.31,97.21
LCF+Attn (resize),True,True,True,attention_weighted,1.0,1.0,0.5,0.5,1356.87,9,83.6,96.47,98.08,80.0,72.73,87.62,92.11,75.0,78.69,89.9,92.31,97.73
LCF+Attn (compact),True,True,False,attention_weighted,1.0,1.0,0.5,0.5,798.06,4,72.07,94.87,97.67,86.96,31.58,85.46,90.41,80.0,71.19,88.78,85.71,96.67
Attn (resize),False,True,True,attention_weighted,1.0,1.0,0.5,0.5,1676.62,14,74.03,95.51,97.89,78.05,46.15,86.87,88.16,81.82,75.41,86.87,92.31,96.63
Attn (compact),False,True,False,attention_weighted,1.0,1.0,0.5,0.5,1595.49,11,72.55,94.87,97.53,77.27,42.86,91.21,93.96,90.0,82.35,90.91,92.31,97.73
